text_id,speaker_id,gender,topics,conv_id,turn,text,length,age_cat,clean_text,label,trigram_pred
26810,S0679,F,"['making a shopping list', 'ages on birthday cards', 'buying calendar fobs', 'art and craft at school', 'other things from primary school', 'hockey boots', 'subjects for study at university – sound recording', 'wider take on social history', 'changes in computers and computing', 'passing computers to computing museum', 'volunteering at computing museum']",SEVC,378,"and I rather suspect that erm <anon nameType=""n"" type=""name"" /> might be in the same in the same boat",16,50_plus,rather suspect erm anon nametype n type name might boat,1,1
41075,S0203,M,"['friendship', 'paedophiles', 'guitars', 'bands', 'hobbies']",SMSW,523,yeah,1,19_29,yeah,0,0
21510,S0439,F,"['food', 'work', 'holidays', 'ex-boyfriends', 'relationships. ']",SD92,795,mm,1,19_29,mm,0,1
34577,S0254,F,"['museums', 'parking', 'work', 'shopping', 'weddings', 'moving house', 'christmas and presents', 'interview for a masters', 'money', 'future plans', 'pets']",SKJ6,145,you know I do just be an added bonus if we get a load of presents,16,19_29,know added bonus get load presents,0,1
2042,S0674,M,"['music; bands', 'drumming', 'live and albums', 'mutual friends', 'internships', 'plans ']",S2YK,379,"<anon nameType=""m"" type=""name"" /> was keen",3,19_29,anon nametype type name keen,0,0
40522,S0179,M,"['making arrangements', 'football', 'cars', 'tennis', 'the angel of the north', 'flats', 'parking']",SMMK,62,can't quite believe you didn't recognise that,9,19_29,quite believe recognise,0,1
13732,S0012,M,['no info'],S9DE,353,it's all it's the weather <unclear /> I suppose,10,50_plus,weather unclear suppose,1,1
20401,S0179,M,"['food', 'holidays']",SD6X,1019,right,1,19_29,right,0,1
13766,S0012,M,['no info'],S9DE,387,I don't want to no no no,8,50_plus,want,1,0
10955,S0265,M,"['work', 'new technology']",S7QY,112,I don't know,4,50_plus,know,1,1
334,S0441,F,"['food', 'old school friends', 'complaining about things', 'days out', 'gossiping about the neighbour', 'films', 'men', 'shopping', 'news. ']",S2AJ,36,it's so good,4,19_29,good,0,0
38956,S0058,F,"['food', 'gyms', 'work', 'cars', 'friends', 'graduate jobs', 'literature', 'drugs', 'tv and film', 'gender discrimination', 'babies']",SM6B,98,I'm not sure cos the timetables don't seem to show that but,14,19_29,sure cos timetables seem show,0,1
45441,S0355,M,"['health', 'green party', 'jobs', 'boot sales', 'relationships.']",SPTQ,356,"I mean they wouldn't come to place where you get a a roast meal and <trunc>s</trunc> erm <pause dur=""short"" /> for four pound thirty-six and",22,50_plus,mean come place get roast meal trunc trunc erm pause dur short four pound thirty six,1,1
651,S0362,M,"['friends', 'family', 'work', 'holidays', 'festivals', 'houses']",S2C9,992,okay,1,19_29,okay,0,0
18772,S0336,F,"['friends', 'boyfriends', 'cars', 'holidays', 'work']",SBEV,476,if she just brought him home it would be very personal like meeting,13,19_29,brought home would personal like meeting,0,0
26699,S0680,F,"['making a shopping list', 'ages on birthday cards', 'buying calendar fobs', 'art and craft at school', 'other things from primary school', 'hockey boots', 'subjects for study at university – sound recording', 'wider take on social history', 'changes in computers and computing', 'passing computers to computing museum', 'volunteering at computing museum']",SEVC,267,no I mean earlier earlier when he was at university he could have gone into sound,16,50_plus,mean earlier earlier university could gone sound,1,0
2194,S0441,F,"['food', 'weekend', 'work', 'english counties and places', 'halloween parties', 'future 5-year plans.  ']",S382,20,"<unclear /> <pause dur=""short"" /> don't know if they do",7,19_29,unclear pause dur short know,0,0
8416,S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,1009,"I don't seem to be able to do anything <vocal desc=""laugh"" />",10,19_29,seem able anything vocal desc laugh,0,1
52745,S0013,F,['no info'],ST64,246,mm,1,50_plus,mm,1,1
31045,S0198,F,"['study', ""tomorrow's plans"", 'cooking', 'smoking', 'selling cds', 'the internet', 'cataloguing', 'children', 'beer and cigarettes', ""master's degrees"", 'linguistics', 'visiting home', 'family', 'basque', 'jobs', 'south korea', 'grammar', 'budgets', 'pheromones']",SGN8,848,the topic is,3,19_29,topic,0,0
64807,S0439,F,"['sport', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'family', 'work']",SZ98,637,"so there's us OUP Hodder and Collins and we all bid for products and then like er what are they called? what's it called? when erm begins with B does it? <pause dur=""short"" /> <unclear>like er</unclear> yeah to ballot",39,19_29,us oup hodder collins bid products like er called called erm begins b pause dur short unclear like er unclear yeah ballot,0,0
24204,S0444,F,"['halloween party', 'relationships', 'work', 'future', 'holiday', 'new job', 'friends', 'interview', 'the past']",SECS,29,mm,1,19_29,mm,0,1
6067,S0275,F,"['going out', 'university', 'food and drink']",S4ZA,105,a lime is like oh,5,19_29,lime like oh,0,0
27416,S0013,F,['no info'],SF6K,332,yep it was all official,5,50_plus,yep official,1,0
47887,S0282,F,"['birth of grandchild. being born abroad. what things are like in france: property', 'enterprise', 'land', 'anarchists and bureaucrats', 'french visitors to london. chichester cathedral spire collapsing. architect called porden. open day and photo exhibition. art competition. argument about bollards. local housing management: failings of new landlord. book being written by speaker no 2. british library. philip of spain and mary tudor: experience of visiting spanish archives. austrian battleship disaster. historians. ']",SQ37,929,"are they related to the <anon nameType=""n"" type=""name"" /> the <anon nameType=""n"" type=""name"" />? with",10,50_plus,related anon nametype n type name anon nametype n type name,1,0
27804,S0375,F,"['food', 'domestic chores', 'pets', 'future plans', 'work', 'finances', 'parents', 'family', 'relationships', 'past activities', 'nostalgic stories', 'health ']",SFLB,178,"I like this bit here <pause dur=""long"" /> borrow your <unclear /> aren't I?",12,19_29,like bit pause dur long borrow unclear,0,0
21669,S0441,F,"['work', 'people from work', 'friends', 'break-ups']",SD9H,153,yeah,1,19_29,yeah,0,0
63193,S0013,F,"['looking at pictures', 'dentists', 'gardening']",SYDJ,396,so why was it left there?,7,50_plus,left,1,1
25803,S0557,F,"['future plans', 'relationships', 'trip to edinburgh/london', 'flooding in the lakes', 'christmas', 'present buying', 'family. ']",SEM7,533,yeah,1,19_29,yeah,0,0
9986,S0120,M,"['internet', 'work', 'politics', 'weather', 'cooking', 'health', 'house prices']",S72Q,558,three thousand words by the twenty-second of February,8,19_29,three thousand words twenty second february,0,0
57265,S0058,F,"['dancing lessons', 'holidays', 'old english', 'university work', 'tv shows', 'ageism', 'celebrities', 'friends', 'charities', 'the route for the journey', 'football', 'medicine', 'cars', 'lovefilm', 'metric and imperial', 'song lyrics.']",SVH7,537,what by driving around?,5,19_29,driving around,0,0
35612,S0202,F,"['internet followers', 'people leaving', 'along', 'talking about other friends']",SKPP,778,I know what you mean,5,19_29,know mean,0,0
36259,S0041,F,"['friendships', 'exercise', 'work ']",SLDB,380,like if I have to go on with the kids if I have to go in with the kids I'm not going to take it seriously,27,19_29,like go kids go kids going take seriously,0,0
45709,S0524,M,"['career details as a producer for the bbc', 'natural history', 'looking at photography', 'talking about how perception is different in each individual. comparing experiences.']",SPY2,117,yeah,1,50_plus,yeah,1,0
13240,S0195,M,"['linguistics recording', 'friends', 'pregnancy', 'reunions', 'colloquialisms', 'post', 'chores', 'money and budgets', 'salary', 'marriage', 'joint bank accounts', 'south korea', 'education', 'tv', 'shopping', 'weather', 'childbirth', 'children', 'future plans', 'living abroad', 'university', 'form filling', 'accent', 'spanish', 'cigarettes', 'cost of living', 'old jobs', '']",S97Z,1336,I have to say,4,19_29,say,0,0
50620,S0247,F,['how hard it is to learn spanish / different language learning methodologies / nations where people speak two languages (catalan/castillian etc.) '],SRDJ,171,mm mm,2,50_plus,mm mm,1,1
12181,S0680,F,"['the great british sewing bee bbc tv programme', 'mum’s sewing', 'clothes mum made for sue in the 60s and 70s', '60s haircuts', 'car parking in central london']",S8SH,218,and then that was erm had erm darts and darts from the waist so the bodice was fitted erm and it had a it was waisted and it had erm I think it it wasn't it had a slightly flared skirt because it that again was erm was it it wasn't it might have been Tricel there was another word for er it was a man-made fibre but it didn't screw up or anything it was and it was thin,83,50_plus,erm erm darts darts waist bodice fitted erm waisted erm think slightly flared skirt erm might tricel another word er man made fibre screw anything thin,1,1
22743,S0242,M,"['scruffy clothes', 'breakfast', 'fruit farms', 'deserted medieval villages', 'roadworks', 'jam', 'coffee', 'growing herbs', 'old people', 'junk mail', 'phones', ""selling anon's old house""]",SDHU,363,right yeah,2,50_plus,right yeah,1,1
17184,S0281,M,"['food', 'china', 'laptop']",S9ZP,349,very er only er a hundred pound each a month,10,50_plus,er er hundred pound month,1,0
40024,S0013,F,['no info'],SMF3,662,yeah,1,50_plus,yeah,1,0
18385,S0198,F,"['university', 'linguistics', 'timetabling', 'tuition fees', 'research', 'lecturers', 'language classes', 'food', 'cooking', 'vegetarianism', 'animal treatment', 'food preparation', 'studying', 'dinner', 'supermarkets', 'languages', 'lunch', 'food combinations', 'south korea', 'men and women in south korea', 'festivals', 'china', 'travel', 'computer games for sale', 'family', 'back gardens', 'flats.']",SB9K,562,"well put it down here now it's gone <pause dur=""short"" /> alright?",11,19_29,well put gone pause dur short alright,0,1
66210,S0450,F,"['food', 'holidays', 'memories', 'catching-up', 'work', 'home-life', 'parents', 'family', 'friends', 'future plans.  ']",SZQX,1292,er but in the last year or since I started five of them have gone travelling,16,19_29,er last year since started five gone travelling,0,0
59144,S0426,M,"['safari-type wildlife holiday', 'university students', '(disertation supervisees); teaching arrangements; job advertisments & applicants']",SX6V,126,okay okay right,3,50_plus,okay okay right,1,1
26030,S0253,M,"['museums', 'parking', 'work', 'shopping', 'weddings', 'moving house', 'christmas and presents', 'interview for a masters', 'money', 'future plans', 'pets']",SESD,81,"mm <pause dur=""short"" /> I'm not sure",5,19_29,mm pause dur short sure,0,0
62239,S0282,F,['what to do for the tape. consultation process. business case. rationale for location of new project. organisation of local health services. relationships with hospices. patient health. nursing of people at end of life. politics and geography. health budgets. use of estate agents. what new building might look like.'],SY5K,316,<trunc>spec</trunc>speculate <unclear>on it</unclear>,1,50_plus,trunc spec trunc speculate unclear unclear,1,0
28211,S0192,M,"['the weekend', 'work', 'chichester', 'family', 'british national corpus', 'linguistics', 'pay day', 'colleagues', 'photos', 'names', 'hometowns', 'personal information', 'divorce', 'musicals', 'theatre', 'university', 'malaysian dialect', 'time off', 'judge judy', 'grades', 'creative writing', 'undergraduate degrees', 'novel writing', 'grammar', 'referencing', 'fireworks', 'money & budgets', 'supervisor position', 'coffee', 'schedules', 'greece', 'friends & family', 'tefl', 'tuitions fees', 'student loans', ""master's degrees"", 'boyfriends', 'relationships', 'proposal', 'marriage', 'siblings', 'passives', 'hair', 'cheating ']",SFNQ,796,so yeah I got seventy-two in that module,8,19_29,yeah got seventy two module,0,0
32816,S0680,F,"['orchids', 'birthday cakes', 'school dinners', 'other stuff about our senior school', 'shopping in east kent', 'shopping in cambridge', 'cambridge university', 'plans for the afternoon']",SHHX,1067,yes I can't think of anything else that you were immediately going to <unclear />,15,50_plus,yes think anything else immediately going unclear,1,1
7774,S0281,M,['bringing my daughter from abroad to live here'],S5ER,687,mm,1,50_plus,mm,1,1
41887,S0012,M,['no info'],SNCM,228,oh dear,2,50_plus,oh dear,1,1
17693,S0447,M,"['exercise', 'phones', 'writing', 'post', 'theatre', 'work', 'tv', 'halloween', 'food', 'toilets', 'ghosts', 'exams', 'alcohol', 'future plans', 'songs', 'uni', 'manchester', 'cars', 'recruitment', 'sleeping']",SAG4,432,no well whatever at least I've read it,9,19_29,well whatever least read,0,1
8154,S0441,F,"['holiday', 'great north run', 'newcastle', 'netball', 'sport', 'food', 'friends', 'catch-up']",S5YC,837,but people are still <unclear />,5,19_29,people still unclear,0,0
66402,S0439,F,"['food', 'holidays', 'memories', 'catching-up', 'work', 'home-life', 'parents', 'family', 'friends', 'future plans.  ']",SZQX,2061,if you don't take it as like a personal attack on people,13,19_29,take like personal attack people,0,0
11156,S0264,M,"['work', 'new technology']",S7QY,313,and they've got concrete,5,50_plus,got concrete,1,1
38323,S0486,F,"['visit to china', 'people canoeing on the river exe', 'politics in china', 'and population concerns in england', 'losing our national identity.']",SLMB,580,right,1,50_plus,right,1,1
41837,S0012,M,['no info'],SNCM,178,yeah she used to come through and have,8,50_plus,yeah used come,1,1
35269,S0281,M,"['buses', ""day's activities"", 'pension', 'sleep']",SKNF,385,and then back to the bus stop and just up here so I actually didn't do a lot of walking but I've been doing something all morning,29,50_plus,back bus stop actually lot walking something morning,1,0
8403,S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,954,it was erm that other game you were trying to play wasn't it that wasn't working?,19,19_29,erm game trying play working,0,0
12604,S0679,F,"['the great british sewing bee bbc tv programme', 'mum’s sewing', 'clothes mum made for sue in the 60s and 70s', '60s haircuts', 'car parking in central london']",S8SH,641,oh have you? oh,5,50_plus,oh oh,1,1
1713,S0238,F,"['hand-thrown mugs', 'milk', 'weather', 'spiders', 'gardening (several times)', 'power cuts', 'birds', 'decorating', 'some friends of anon', 'a local festival', 'an accident in the home']",S2UT,521,yeah but as I say I would have had two because I'd have been alternating so I don't know but,22,50_plus,yeah say would two alternating know,1,0
29968,S0529,F,"['difficulties at coping with university', 'anon’s low attendance', 'anon’s medication', 'children’s films', 'cinemas ']",SG4R,559,"you know like <pause dur=""short"" /> stuff like that I dunno it's just doesn't",15,19_29,know like pause dur short stuff like dunno,0,0
4119,S0248,M,"['superstitions / good luck / bad luck / sporting rituals', 'lucky charms', 'etc.']",S3TD,4,"erm I believe in good luck and bad but I know it's something you can just perceive you you can get down on yourself and think erm you know I never get any luck <pause dur=""short"" /> but I and I and I believe statements like I make your own luck certainly <pause dur=""short"" /> but just outrageous bits of bad fortune <trunc>y</trunc> don't happen to everyone the an accident",65,50_plus,erm believe good luck bad know something perceive get think erm know never get luck pause dur short believe statements like make luck certainly pause dur short outrageous bits bad fortune trunc trunc happen everyone accident,1,1
15459,S0268,M,['local politics - planning applications; arrangements to attend a forthcoming planning'],S9HC,73,"got you <pause dur=""short"" /> yeah okay",4,50_plus,got pause dur short yeah okay,1,1
13836,S0012,M,['no info'],S9DE,457,yeah you'll be chasing them with a camera now won't you?,14,50_plus,yeah chasing camera,1,0
64606,S0084,F,"['films', 'family']",SZ7Y,562,mm,1,19_29,mm,0,1
5975,S0254,F,"['housework', 'advertising', 'television', 'smoking', 'car boot sales', 'nlp', 'mobile phones', 'online shopping', 'crime', 'dieting', 'food', 'dyslexia', 'journalism', 'anon’s job', 'plans for the week']",S4YQ,478,yeah,1,19_29,yeah,0,0
51726,S0439,F,"['sport', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'family', 'work']",SRRS,93,"no <pause dur=""short"" /> like the fridge is shit we probably should sellotape it with some Sellotape that isn't colourful so it <vocal desc=""laugh"" />",20,19_29,pause dur short like fridge shit probably sellotape sellotape colourful vocal desc laugh,0,0
56236,S0041,F,"['food', 'identity', 'friends']",SV2V,1701,"then I'll have a lie-in <pause dur=""short"" /> cos I was up at what time was I up this morning? Half seven?",22,19_29,lie pause dur short cos time morning half seven,0,0
28983,S0486,F,"['work and childhood', 'general life.']",SFYX,69,oh,1,50_plus,oh,1,0
5516,S0248,M,['museums / imax and 3d cinema / public transport'],S4VJ,113,and do people sit with <trunc>gla</trunc> these glasses on do they?,11,50_plus,people sit trunc gla trunc glasses,1,1
44753,S0486,F,"['control systems', 'mg cars', 'work ethics', 'getting things done.']",SPM5,181,mm,1,50_plus,mm,1,1
58324,S0428,F,"['holidays', 'jobs', 'family', 'visiting countries']",SWD7,104,"<vocal desc=""laugh"" />",0,19_29,vocal desc laugh,0,0
44993,S0486,F,"['control systems', 'mg cars', 'work ethics', 'getting things done.']",SPM5,421,right,1,50_plus,right,1,1
26638,S0679,F,"['making a shopping list', 'ages on birthday cards', 'buying calendar fobs', 'art and craft at school', 'other things from primary school', 'hockey boots', 'subjects for study at university – sound recording', 'wider take on social history', 'changes in computers and computing', 'passing computers to computing museum', 'volunteering at computing museum']",SEVC,206,mm,1,50_plus,mm,1,1
49158,S0281,M,"['scottish referendum', 'job interview', 'colleague', 'my daughter', 'present personal situation.']",SQWW,181,er of how he's er an agent for all these different organisations,13,50_plus,er er agent different organisations,1,1
43885,S0013,F,['no info'],SP5U,83,yeah,1,50_plus,yeah,1,0
45904,S0524,M,"['career details as a producer for the bbc', 'natural history', 'looking at photography', 'talking about how perception is different in each individual. comparing experiences.']",SPY2,312,and if I describe I describe it as,8,50_plus,describe describe,1,1
27465,S0012,M,['no info'],SF6K,381,it was yeah the only thing we didn't have to pay for was the parking,16,50_plus,yeah thing pay parking,1,0
58571,S0427,M,"['home decorating', 'bathrooms', 'tradespeople', 'kitchens; talk about friends']",SWW8,19,and he's done downstairs as well erm,8,50_plus,done downstairs well erm,1,1
37686,S0679,F,"['discussing the past day', 'wicken fen nature reserve', 'online banking', 'savings and interest', 'housing and issues', 'issues about dave’s front door and door keys', 'mapping genotypes', 'planning the next day', 'christmas cards', 'choosing and delivering a christmas present to friend', 'issues with my mobility rollator', 'changing battery in electric candle', 'christmas lists']",SLJ5,776,well maybe,2,50_plus,well maybe,1,1
41782,S0013,F,['no info'],SNCM,123,they always want to be vets as well don't they?,12,50_plus,always want vets well,1,1
6496,S0427,M,['home decorating; academic research project funding; coffee; italy; water companies; hadron collider'],S55B,340,I don't think you often see it written up on,11,50_plus,think often see written,1,1
65320,S0012,M,['no info'],SZBV,341,yeah,1,50_plus,yeah,1,0
62420,S0651,M,['what to do for the tape. consultation process. business case. rationale for location of new project. organisation of local health services. relationships with hospices. patient health. nursing of people at end of life. politics and geography. health budgets. use of estate agents. what new building might look like.'],SY5K,497,"but also the cottage hospice idea is <pause dur=""short"" /> they can call in <vocal desc=""laugh"" /> they're still the same patients so if they if they're out and active and they're here <pause dur=""short"" /> you know the the the the <trunc>s</trunc> clinical nurse specialists and the staff nurses and the healthcare assistants that serve this are <pause dur=""short"" /> if Mrs Smith and they visit her in her home here <pause dur=""short"" /> a lot and they know here anyway <pause dur=""short"" /> and she needs to come in <pause dur=""short"" /> <trunc>b</trunc>because actually she can't cope at home cos whatever her husband can't cope <trunc>sh</trunc> often a carer failure that means they can't cope",100,50_plus,also cottage hospice idea pause dur short call vocal desc laugh still patients active pause dur short know trunc trunc clinical nurse specialists staff nurses healthcare assistants serve pause dur short mrs smith visit home pause dur short lot know anyway pause dur short needs come pause dur short trunc b trunc actually cope home cos whatever husband cope trunc sh trunc often carer failure means cope,1,1
48090,S0055,F,['work'],SQ55,132,I want to know what she's having counselling for,10,19_29,want know counselling,0,1
8628,S0439,F,"['food', 'friends', 'relationships', 'work', 'cooking', 'annoyance', 'disagreement. ']",S6A7,565,yeah apparently so well that's what the advert tells me cos apparently I'm a sucker for an advert,20,19_29,yeah apparently well advert tells cos apparently sucker advert,0,0
59796,S0526,M,['cataract operation on one eye.  finding lost objects through visualization.   the build up of unwanted objects in the home.  dogs moving about at night.'],SXAN,430,yes,1,50_plus,yes,1,1
54230,S0203,M,"['sports', 'uni', 'work', 'bands']",STZ3,244,<unclear />,1,19_29,unclear,0,0
57704,S0426,M,"[""how was your weekend; football players' young children; snooker players; gardening; marking students' work; entry ino the police force and the armed forces""]",SVN6,201,okay right okay,3,50_plus,okay right okay,1,1
45152,S0281,M,"['health', 'green party', 'jobs', 'boot sales', 'relationships.']",SPTQ,67,mm,1,50_plus,mm,1,1
12612,S0679,F,"['the great british sewing bee bbc tv programme', 'mum’s sewing', 'clothes mum made for sue in the 60s and 70s', '60s haircuts', 'car parking in central london']",S8SH,649,they probably try and make it a bit more difficult and more varied each time,15,50_plus,probably try make bit difficult varied time,1,0
19081,S0265,M,"['arrangements for birthdays', 'postcard of recent holiday', 'scottish independence']",SCQC,130,mm,1,50_plus,mm,1,1
44189,S0012,M,['no info'],SP5U,387,oh yeah,2,50_plus,oh yeah,1,0
67243,S0428,F,"['babies', 'moving house', 'sharing clothes', 'siblings', 'learning languages']",SZYV,188,that's good for erm,5,19_29,good erm,0,1
61095,S0587,M,[],SXK4,1054,yeah it's definitely not peach,6,19_29,yeah definitely peach,0,0
1422,S0243,F,"['hand-thrown mugs', 'milk', 'weather', 'spiders', 'gardening (several times)', 'power cuts', 'birds', 'decorating', 'some friends of anon', 'a local festival', 'an accident in the home']",S2UT,230,in the first place,4,50_plus,first place,1,1
16432,S0282,F,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']",S9X9,395,yes,1,50_plus,yes,1,1
1259,S0238,F,"['hand-thrown mugs', 'milk', 'weather', 'spiders', 'gardening (several times)', 'power cuts', 'birds', 'decorating', 'some friends of anon', 'a local festival', 'an accident in the home']",S2UT,67,well it hasn't necessarily been cold,7,50_plus,well necessarily cold,1,1
9480,S0486,F,"['childhood', 'life issues', 'family history', 'burns and the treatment given.']",S6J8,168,yes,1,50_plus,yes,1,1
