speaker_id,conv_id,turn,text,length,label
S0642,S29X,87,yeah,1,50_plus
S0486,S29X,88,I just love him,4,50_plus
S0642,S29X,89,yeah well <trunc>mish</trunc>mish well I'll I'll I'll drop some around or I'll,16,50_plus
S0486,S29X,90,because when we were at erm college I took one out of the library once,15,50_plus
S0642,S29X,91,ah,1,50_plus
S0486,S29X,92,"and <anon nameType=""m"" type=""name"" /> and I watched it and we just thought it was the best one of the best things we'd ever seen",23,50_plus
S0642,S29X,93,yeah,1,50_plus
S0486,S29X,94,it just sort of appealed to us,7,50_plus
S0642,S29X,95,yeah I've got sort of got a few I can,11,50_plus
S0486,S29X,96,have you? oh,4,50_plus
S0642,S29X,97,we'll sort that out,5,50_plus
S0486,S29X,98,okay,1,50_plus
S0642,S29X,99,I'll drop them I'll bring them up or,10,50_plus
S0486,S29X,100,yeah why don't you come over one evening and,10,50_plus
S0642,S29X,101,we'll do that yeah,5,50_plus
S0486,S29X,102,yeah <trunc>i</trunc>if you I mean if you're going home one evening you could have erm an evening meal with us if you wanted to,25,50_plus
S0642,S29X,103,that would be lovely that's very,7,50_plus
S0486,S29X,104,would you like that?,5,50_plus
S0642,S29X,105,is that alright?,4,50_plus
S0486,S29X,106,yeah yeah no,3,50_plus
S0642,S29X,107,"it is very kind of you <vocal desc=""laugh"" />",6,50_plus
S0486,S29X,108,"<anon nameType=""f"" type=""name"" /> listens to it are you there <anon nameType=""f"" type=""name"" />? <anon nameType=""f"" type=""name"" /> listens to these so",14,50_plus
S0486,S29X,109,oh okay yeah,3,50_plus
S0642,S29X,110,it'll be alright yeah so yeah no come on and erm <trunc>I</trunc>I've been on erm I've got this autoimmune thing and I've had to to change my whole eating habits at the moment,37,50_plus
S0642,S29X,111,oh,1,50_plus
S0486,S29X,112,and erm I've lost half a stone in erm in in six weeks erm and I but because because I've had to give up I <trunc>lo</trunc> I lost lost weight at Christmas,33,50_plus
S0642,S29X,113,yeah,1,50_plus
S0486,S29X,114,because I've got to give up all these things,10,50_plus
S0642,S29X,115,but that's not too good for you because you weren't overweight,13,50_plus
S0486,S29X,116,no I know I know,5,50_plus
S0642,S29X,117,I mean most women would be,6,50_plus
S0486,S29X,118,yeah well I,3,50_plus
S0642,S29X,119,you know they'd like to to lose but,9,50_plus
S0486,S29X,120,I I wasn't,4,50_plus
S0642,S29X,121,you don't really need to lose weight,8,50_plus
S0486,S29X,122,well I was nine stone four and I've gone down to,12,50_plus
S0642,S29X,123,oh dear,2,50_plus
S0486,S29X,124,eight and a half so but that's,8,50_plus
S0642,S29X,125,yeah,1,50_plus
S0486,S29X,126,only because I'm not eating what I used to eat which was I used to like a piece of cake you know,23,50_plus
S0642,S29X,127,yeah,1,50_plus
S0486,S29X,128,and like you know like some sweet things but I haven't had anything sweet,15,50_plus
S0642,S29X,129,well,1,50_plus
S0486,S29X,130,that's all it is it's not it's not sinister it's just the fact that I'm have had to give up yeast and if you have to give up yeast you have to give up sugar cos of the,43,50_plus
S0642,S29X,131,yes,1,50_plus
S0486,S29X,132,fermentation thing,2,50_plus
S0642,S29X,133,yeah,1,50_plus
S0486,S29X,134,so there you go so that that's erm that's the situation so you're keeping fit though aren't you? you look very fit,27,50_plus
S0642,S29X,135,"<vocal desc=""laugh"" /> sorry",1,50_plus
S0486,S29X,136,"<vocal desc=""laugh"" /> it's alright <pause dur=""short"" /> you're keeping fit",7,50_plus
S0642,S29X,137,well as you can see I'm seventy-one so I can't complain,13,50_plus
S0486,S29X,138,crikey seventy-one,2,50_plus
S0642,S29X,139,"but I I <pause dur=""short"" /> I <pause dur=""short"" /> I try I've always <pause dur=""short"" /> not tried cos I do keep my mind active and I",20,50_plus
S0486,S29X,140,yeah,1,50_plus
S0642,S29X,141,and I and I walk and do things I cannot live a sedentary life so I'm really,19,50_plus
S0486,S29X,142,no,1,50_plus
S0642,S29X,143,almost Greek isn't it really?,7,50_plus
S0486,S29X,144,yes yeah,2,50_plus
S0642,S29X,145,mind and body keep them <unclear>going</unclear> and ticking over,8,50_plus
S0486,S29X,146,exactly keep them going and what about erm er are you still going abroad to in the summer? I think you used to go abroad in the summer was it Africa you used to go?,37,50_plus
S0642,S29X,147,<trunc>I</trunc>I've I used to go everywhere but <trunc>I</trunc>I've been going to Jamaica a lot,16,50_plus
S0486,S29X,148,oh right,2,50_plus
S0642,S29X,149,where I've been teaching,5,50_plus
S0486,S29X,150,yeah,1,50_plus
S0642,S29X,151,on on on a on these yoga retreats really,9,50_plus
S0486,S29X,152,oh yes yeah,3,50_plus
S0642,S29X,153,but I don't teach the yoga but erm,9,50_plus
S0486,S29X,154,no no,2,50_plus
S0642,S29X,155,and I go to France a lot and I've just come back from Amsterdam,15,50_plus
S0486,S29X,156,right,1,50_plus
S0642,S29X,157,er,1,50_plus
S0486,S29X,158,were you teaching out there?,6,50_plus
S0642,S29X,159,"no I <trunc>w</trunc> no I I went over for <pause dur=""short"" /> there's this huge big student competition now",16,50_plus
S0486,S29X,160,oh right,2,50_plus
S0642,S29X,161,for painters under twenty-five art students,6,50_plus
S0486,S29X,162,right,1,50_plus
S0642,S29X,163,"and it takes place at the <anon type=""place"" />",7,50_plus
S0486,S29X,164,right,1,50_plus
S0642,S29X,165,which is a big student hostel,6,50_plus
S0486,S29X,166,right,1,50_plus
S0642,S29X,167,"erm the <anon type=""place"" />",3,50_plus
S0486,S29X,168,right,1,50_plus
S0642,S29X,169,and we've been taking students there for years I've I took I've taken them there from various art schools,22,50_plus
S0486,S29X,170,right yeah,2,50_plus
S0642,S29X,171,"and it's a wonderful competition where they come from well <pause dur=""short"" /> <anon type=""place"" /> university was there this year and",18,50_plus
S0486,S29X,172,yeah,1,50_plus
S0642,S29X,173,"various other places <pause dur=""short"" /> and erm <pause dur=""short"" /> it's painters <pause dur=""short"" /> and you just choose the one you think is the best",19,50_plus
S0486,S29X,174,oh right,2,50_plus
S0642,S29X,175,"and you go around and you put your <pause dur=""short"" /> erm your selection in a box <pause dur=""short"" /> and then you have this extraordinary evening where all the drinks and all this extraordinary food is free for about <trunc>f</trunc>four hours",36,50_plus
S0486,S29X,176,really?,2,50_plus
S0642,S29X,177,oh champagne and and oysters and salmon and and then the one who gets the most votes wins,18,50_plus
S0486,S29X,178,yeah oh right,3,50_plus
S0642,S29X,179,and gets twenty thousand pounds,5,50_plus
S0486,S29X,180,goodness,1,50_plus
S0642,S29X,181,and an exhibition,3,50_plus
S0486,S29X,182,oh right,2,50_plus
S0642,S29X,183,for the well if we'd have still been erm around,11,50_plus
S0486,S29X,184,yes,1,50_plus
S0642,S29X,185,we'd have done it,5,50_plus
S0486,S29X,186,yes yeah,2,50_plus
S0642,S29X,187,"in fact <anon type=""place"" /> did it",5,50_plus
S0486,S29X,188,right,1,50_plus
S0642,S29X,189,the year after I left,5,50_plus
S0486,S29X,190,oh did they?,4,50_plus
S0642,S29X,191,with four,2,50_plus
S0486,S29X,192,right,1,50_plus
S0642,S29X,193,"the problem with <anon type=""place"" /> they were generally more mature students as you recall",13,50_plus
S0486,S29X,194,yes that's right no it wouldn't have worked,10,50_plus
S0642,S29X,195,well some,2,50_plus
S0486,S29X,196,some would have worked,4,50_plus
S0642,S29X,197,you can always find a few under twenty-five,8,50_plus
S0486,S29X,198,yeah yeah yeah,3,50_plus
S0642,S29X,199,but not that many,4,50_plus
S0486,S29X,200,not that many have you been to the new building down there? they said they opened it recently,19,50_plus
S0642,S29X,201,I haven't but it's absolutely I've heard things like it's so sanitised and clinical it almost,20,50_plus
S0486,S29X,202,oh is it?,4,50_plus
S0642,S29X,203,looks like a they're gonna <trunc>per</trunc>perform operations in it,11,50_plus
S0486,S29X,204,"<vocal desc=""laugh"" />",0,50_plus
S0642,S29X,205,or it's a cross between that and some sort of government,12,50_plus
S0486,S29X,206,right,1,50_plus
S0642,S29X,207,social security building but it was empty,7,50_plus
S0486,S29X,208,oh right nothing in it at all?,8,50_plus
S0642,S29X,209,well I don't know I don't know what's happened there,13,50_plus
S0486,S29X,210,right,1,50_plus
S0642,S29X,211,I know loads of the courses have gone,8,50_plus
S0486,S29X,212,yeah,1,50_plus
S0642,S29X,213,been closed off,3,50_plus
S0486,S29X,214,oh right yeah,3,50_plus
S0642,S29X,215,and as you know fine art was closed,8,50_plus
S0486,S29X,216,yes it was yeah,4,50_plus
S0642,S29X,217,the principal closed that,4,50_plus
S0486,S29X,218,yeah well I'm not surprised she erm,8,50_plus
S0642,S29X,219,she said she didn't like the staff <unclear /> she didn't,12,50_plus
S0486,S29X,220,no the <unclear />,3,50_plus
S0642,S29X,221,she didn't like the staff and she didn't like the students,13,50_plus
S0486,S29X,222,no no,2,50_plus
S0642,S29X,223,quite odd that isn't it?,7,50_plus
S0486,S29X,224,it is,2,50_plus
S0642,S29X,225,that one person can decide,5,50_plus
S0486,S29X,226,exactly,1,50_plus
S0642,S29X,227,to deprive all these people,5,50_plus
S0486,S29X,228,yes,1,50_plus
S0642,S29X,229,in this <trunc>envi</trunc> area that there's no fine art education,10,50_plus
S0486,S29X,230,well you remember when I took her to task about it all?,13,50_plus
S0642,S29X,231,oh you yes,3,50_plus
S0486,S29X,232,"I went I I went a bit berserk and I got <anon nameType=""n"" type=""name"" /> involved",13,50_plus
S0642,S29X,233,that's right yeah,4,50_plus
S0486,S29X,234,"and she said <anon nameType=""n"" type=""name"" /> it was none of his business <trunc>a</trunc>and I confronted her and I said well he he is the MP <vocal desc=""laugh"" /> you know it might be some of his business cos he was voted in which is more than she was I mean she wasn't voted in she just happened to get the position",57,50_plus
S0642,S29X,235,was he a Liberal?,5,50_plus
S0486,S29X,236,a Liberal Democrat,3,50_plus
S0642,S29X,237,"<anon type=""place"" />? yeah",3,50_plus
S0486,S29X,238,"<anon type=""place"" /> he's not he's not doing it any more now",12,50_plus
S0642,S29X,239,no well they got,4,50_plus
S0486,S29X,240,yeah,1,50_plus
S0642,S29X,241,got voted out,3,50_plus
S0486,S29X,242,yeah,1,50_plus
S0642,S29X,243,"<anon nameType=""m"" type=""name"" />?",2,50_plus
S0486,S29X,244,can you turn it down?,6,50_plus
S0642,S29X,245,can we?,3,50_plus
S0486,S29X,246,we're recording,3,50_plus
S0642,S29X,247,I'm recording sorry it won't take much longer,10,50_plus
S0486,S29X,248,another five minutes erm we're nearly finished erm so,10,50_plus
S0642,S29X,249,it was a Tory stronghold for years and years and years,11,50_plus
S0486,S29X,250,yeah,1,50_plus
S0642,S29X,251,"<anon type=""place"" /> cos I I remember <anon nameType=""n"" type=""name"" /> was",7,50_plus
S0486,S29X,252,yeah,1,50_plus
S0642,S29X,253,the sort of <trunc>s</trunc>sitting MP and it was almost like it was his personal fiefdom,15,50_plus
S0486,S29X,254,well absolutely yeah,3,50_plus
S0642,S29X,255,I think he was chairman of the Nineteen Twenty-Two Committee,10,50_plus
S0486,S29X,256,yeah have you ever heard him speak?,8,50_plus
S0642,S29X,257,yes,1,50_plus
S0486,S29X,258,he's brilliant,3,50_plus
S0642,S29X,259,when I was younger,4,50_plus
S0486,S29X,260,absolutely brilliant,2,50_plus
S0642,S29X,261,that would be when I was younger I think he's probably,12,50_plus
S0486,S29X,262,he came to,3,50_plus
S0642,S29X,263,dead,1,50_plus
S0486,S29X,264,"well he talked about they were closing the maternity home in <anon type=""place"" />",12,50_plus
S0642,S29X,265,ah,1,50_plus
S0486,S29X,266,and we I went with some friends of mine who had lots of children and had used the maternity home and I went with them to hear him speak and he was absolutely brilliant,34,50_plus
S0642,S29X,267,yeah,1,50_plus
S0486,S29X,268,he really was so erm yeah,6,50_plus
S0642,S29X,269,well he he was quite yeah I think he was quite a sort of one-nation Tory,16,50_plus
S0486,S29X,270,he was,2,50_plus
S0642,S29X,271,mm yeah a decent chap,5,50_plus
S0486,S29X,272,he really knew how to to give a good speech but then at his age then even then he would have had a lot of experience and to be,29,50_plus
S0642,S29X,273,oh yes,2,50_plus
S0486,S29X,274,a good speaker you need to have a lot of experience,11,50_plus
S0642,S29X,275,yeah yes,2,50_plus
S0486,S29X,276,"erm you know? <anon nameType=""m"" type=""name"" /> is a very good speaker so he always gets invited to speak to people",19,50_plus
S0642,S29X,277,yeah I can imagine,4,50_plus
S0486,S29X,278,yeah he's a very good speaker,7,50_plus
S0642,S29X,279,yeah,1,50_plus
S0486,S29X,280,erm,1,50_plus
S0642,S29X,281,and confident with it,4,50_plus
S0486,S29X,282,well yeah absolutely yeah I mean he well when you've been doing the same sort like yourself when you've been doing the same subject for years and years,30,50_plus
S0642,S29X,283,mm mm,2,50_plus
S0486,S29X,284,you know erm and you're sort of top of your tree in your whatever it is he's erm we've got about another five minutes to go so I don't know whether you want to say anything?,41,50_plus
S0642,S29X,285,only about <trunc>sp</trunc>speaking if we're just talking there,9,50_plus
S0486,S29X,286,yeah,1,50_plus
S0642,S29X,287,I could speak quite relaxed and and no problem at a hundred students,13,50_plus
S0486,S29X,288,yeah,1,50_plus
S0642,S29X,289,a hundred and fifty and I've done that often,10,50_plus
S0486,S29X,290,yeah,1,50_plus
S0642,S29X,291,I always hated formal speaking though,6,50_plus
S0486,S29X,292,did you?,3,50_plus
S0642,S29X,293,sort of like the BA presentation type speech,8,50_plus
S0486,S29X,294,yes yes I know yeah,5,50_plus
S0642,S29X,295,and I really really hated it,6,50_plus
S0486,S29X,296,yeah,1,50_plus
S0642,S29X,297,to the point that I could almost be physically sick beforehand,11,50_plus
S0486,S29X,298,really?,2,50_plus
S0642,S29X,299,I never liked that er because it was too formal for me but just generally,15,50_plus
S0486,S29X,300,yeah yeah,2,50_plus
S0642,S29X,301,I have no problem at all,6,50_plus
S0486,S29X,302,no no no I've never had any problem talking in public either I've what was my first training was on the stage so I I did three years at drama school,33,50_plus
S0642,S29X,303,mm,1,50_plus
S0486,S29X,304,and I mean performing is better to me than actually,10,50_plus
S0642,S29X,305,yeah yeah,2,50_plus
S0486,S29X,306,doing anything else erm you know? much better than anything else really so erm so what do you see the future of this course are you going to be doing anything more or are you gonna keep this going in the same way?,46,50_plus
S0642,S29X,307,well the way it's going here,7,50_plus
S0486,S29X,308,yeah,1,50_plus
S0642,S29X,309,this although it's an extraordinarily good building it's not big enough,13,50_plus
S0486,S29X,310,yeah,1,50_plus
S0642,S29X,311,and I I suppose as the the Brew House dropped away a bit,13,50_plus
S0486,S29X,312,yeah,1,50_plus
S0642,S29X,313,and I know it's still going,7,50_plus
S0486,S29X,314,yeah,1,50_plus
S0642,S29X,315,but this is sort of almost they've crossed over,10,50_plus
S0486,S29X,316,yeah,1,50_plus
S0642,S29X,317,and this is on the up I mean I know they've applied and have got a a an access course,21,50_plus
S0486,S29X,318,yeah yeah,2,50_plus
S0642,S29X,319,running and er for next year so there is other possibilities where they could do sort of er FDAs and all sorts here,23,50_plus
S0486,S29X,320,yes,1,50_plus
S0642,S29X,321,but but that would erm need some more accommodation which they've,12,50_plus
S0486,S29X,322,right,1,50_plus
S0642,S29X,323,possibly acquired this huge place opposite,6,50_plus
S0486,S29X,324,oh right,2,50_plus
S0642,S29X,325,yeah but that wouldn't be anything to do with me I've really I don't know I'm very much an integral part I just really got the thing off the ground,34,50_plus
S0486,S29X,326,no yeah,2,50_plus
S0642,S29X,327,in terms of the visual arts that side of it,10,50_plus
S0486,S29X,328,yeah I think we might stop cos the music's got so loud hasn't it? erm so <trunc>we</trunc>we've done fifteen minutes so that's fine alright?,30,50_plus
S0642,S29X,329,was that okay?,4,50_plus
S0486,S29X,330,yeah yeah yeah that's erm I'll just check there er stop recording is that,16,50_plus
S0439,S2AJ,1,"how was everything with erm with <anon nameType=""n"" type=""name"" /> this weekend?",10,19_29
S0441,S2AJ,2,it was good actually,4,19_29
S0439,S2AJ,3,was it good?,4,19_29
S0441,S2AJ,4,yeah it was fun,4,19_29
S0439,S2AJ,5,"what did you get up to? <event desc=""sound of water running"" />",7,19_29
S0441,S2AJ,6,"we went <anon type=""place"" /> erm wandered around watched people punt",9,19_29
S0439,S2AJ,7,watched people punt did you not go punting?,9,19_29
S0441,S2AJ,8,no it's too expensive it's not worth it,10,19_29
S0439,S2AJ,9,how much was it?,5,19_29
S0441,S2AJ,10,"well <pause dur=""short"" /> I looked online beforehand and if you get a tour boat it's quite cheap but if you don't get a tour it's really expensive so",29,19_29
S0439,S2AJ,11,isn't it like twenty pounds an hour?,9,19_29
S0441,S2AJ,12,"yeah <pause dur=""short"" /> but like <unclear />",4,19_29
S0439,S2AJ,13,yeah,1,19_29
S0441,S2AJ,14,"<unclear>went before</unclear> <vocal desc=""laugh"" /> and I know that I I knew none of us would have wanted to punt so",16,19_29
S0439,S2AJ,15,"mm yeah <pause dur=""short"" /> how are they though?",7,19_29
S0441,S2AJ,16,good it was fun,4,19_29
S0439,S2AJ,17,anything going on in their lives?,7,19_29
S0441,S2AJ,18,not really same old,4,19_29
S0439,S2AJ,19,same old same old,4,19_29
S0441,S2AJ,20,"it was really good though it was fun very fun <pause dur=""short"" /> how was your weekend?",15,19_29
S0439,S2AJ,21,really really dull,3,19_29
S0441,S2AJ,22,<unclear />,1,19_29
S0439,S2AJ,23,"I went to <anon nameType=""f"" type=""name"" />'s on Friday I didn't actually I I couldn't go to the actual kayaking because of my eye appointment and then I messaged them and like tell me when you're back home and I got either they didn't get my message because the signal at <anon type=""place"" /> was horrendous or they forgot to message me but I messaged like a few other people and no one got back to me and I wasn't feeling great so I fell asleep and then when I woke up it was like <pause dur=""short"" /> nine",97,19_29
S0441,S2AJ,24,oops,1,19_29
S0439,S2AJ,25,and I was like er I don't want to go out now so I didn't go,18,19_29
S0441,S2AJ,26,"<vocal desc=""laugh"" />",0,19_29
S0439,S2AJ,27,"and then <anon nameType=""m"" type=""name"" /> was like where were you? I was like well I didn't know where <trunc>anybod</trunc> I didn't know what the plan was so I just didn't come they were like and he was like oh",40,19_29
S0441,S2AJ,28,did he not could he not have sent a message either?,12,19_29
S0439,S2AJ,29,"that's what I was thinking I was like I did try and call and ring people but the signal at <anon type=""place"" /> it's always so horrendous that I'm most of the time I think no one ever gets your message until they're out of <anon type=""place"" /> but",49,19_29
S0441,S2AJ,30,do you not think that er he might have,9,19_29
S0439,S2AJ,31,apparently not no,3,19_29
S0441,S2AJ,32,wanted to be contacted maybe?,6,19_29
S0439,S2AJ,33,so but I think it was really nice just to be at home I watched Young Victoria,17,19_29
S0441,S2AJ,34,oh I love that film,5,19_29
S0439,S2AJ,35,and I had forgot how much I loved that film,10,19_29
S0441,S2AJ,36,it's so good,4,19_29
S0439,S2AJ,37,"it's just <anon nameType=""m"" type=""name"" /> is so cute",7,19_29
S0441,S2AJ,38,he is so good <unclear />,5,19_29
S0439,S2AJ,39,when they when he gets shot and she's like why did you do it? and he's like because you're because I'm replaceable and you're not and she's like you're not replaceable to me I was like ah,45,19_29
S0441,S2AJ,40,ah,1,19_29
S0439,S2AJ,41,"and your heartstrings went <pause dur=""short"" /> I love I love that film",10,19_29
S0441,S2AJ,42,it's such a good film,6,19_29
S0439,S2AJ,43,it's just so sad that he died of something so stupid,12,19_29
S0441,S2AJ,44,I know it's so stupid,6,19_29
S0439,S2AJ,45,something that you could easily be cured of nowadays,9,19_29
S0441,S2AJ,46,it is so sad,4,19_29
S0439,S2AJ,47,and their love could've blossomed further,7,19_29
S0441,S2AJ,48,oh,1,19_29
S0439,S2AJ,49,"oh <anon nameType=""f"" type=""name"" /> and <anon nameType=""m"" type=""name"" />",4,19_29
S0441,S2AJ,50,I've got really bad stomach cramps,7,19_29
S0439,S2AJ,51,do you?,3,19_29
S0441,S2AJ,52,yeah I think it's best I think I deserved it ah a little green thing I think I deserve to go home,23,19_29
S0439,S2AJ,53,yeah is that a new top?,7,19_29
S0441,S2AJ,54,yeah,1,19_29
S0439,S2AJ,55,where is it from?,5,19_29
S0441,S2AJ,56,the New Look sale,4,19_29
S0439,S2AJ,57,oh,1,19_29
S0441,S2AJ,58,ah there's a bug go away get out of my spinach,12,19_29
S0439,S2AJ,59,"<vocal desc=""laugh"" /> that's what happens when it's home grown",9,19_29
S0441,S2AJ,60,I killed it I had to I'm sorry sorry god,11,19_29
S0439,S2AJ,61,you just killed a bug you bitch,7,19_29
S0441,S2AJ,62,I'm an actual bitch,5,19_29
S0439,S2AJ,63,you utter bug rendering skank whore that could've been Cecil the bug for all you know,17,19_29
S0441,S2AJ,64,"<vocal desc=""laugh"" /> it could've been let's hope it was not",10,19_29
S0439,S2AJ,65,"<vocal desc=""laugh"" />",0,19_29
S0441,S2AJ,66,or I'm going to be,6,19_29
S0439,S2AJ,67,you're going to be hunted down,7,19_29
S0441,S2AJ,68,hunted down and have no job,6,19_29
S0439,S2AJ,69,this is so weird isn't it though that we not not that I'm no not judging I would've done pretty much the same but it's weird that we think a tiger or a lion shouldn't be killed and then we're quite happy to kill spiders and bugs,53,19_29
S0441,S2AJ,70,I know,2,19_29
S0439,S2AJ,71,do you know there are hundreds of spiders and bugs thousands of millions actually of spiders and bugs whereas lions there aren't so,24,19_29
S0441,S2AJ,72,not as much,3,19_29
S0439,S2AJ,73,sorry Cecil that dentist must be kicking himself,8,19_29
S0441,S2AJ,74,I know what an idiot what a moron,8,19_29
S0439,S2AJ,75,"er <pause dur=""short"" /> how were your mum and <anon nameType=""m"" type=""name"" /> on Sunday?",10,19_29
S0441,S2AJ,76,good it was hard work we shouldn't let it get that long again,14,19_29
S0439,S2AJ,77,yeah,1,19_29
S0441,S2AJ,78,it takes ages,3,19_29
S0439,S2AJ,79,we still have the strimmer don't we?,9,19_29
S0441,S2AJ,80,yeah,1,19_29
S0439,S2AJ,81,maybe we should try try and do it every couple of weeks,12,19_29
S0441,S2AJ,82,he said every week or,5,19_29
S0439,S2AJ,83,oh okay,2,19_29
S0441,S2AJ,84,I don't mind doing it every week anyway I mean once it's not long,16,19_29
S0439,S2AJ,85,it probably doesn't take,5,19_29
S0441,S2AJ,86,it's fine,3,19_29
S0439,S2AJ,87,yeah,1,19_29
S0441,S2AJ,88,and also when when it's long it takes like a few thousand years to sweep up everything as well,20,19_29
S0439,S2AJ,89,yeah I can imagine,4,19_29
